TextName:Lat,Long,Location,Dialect,Genre,YoC,YoM,AuthName,AuthBD,AuthSex,AuthAge,RecName,RecBD,RecSex,RecAge,RecRelation,Words,OCWords,NamWords,ForWords,Types,OCTypes,NamTypes,ForTypes,Chars,OCChars,NamChars,ForChars,Tokens
BEDDINGFIELD-1763:NA,NA,NA,NA,PROCEEDINGS_TRIAL,1763,1763,n/a,NA,m,NA,NA,NA,NA,NA,NA,8692,3026,391,4,1059,691,75,1,34220,15171,2585,16,933
BELL-1911:NA,NA,NA,NA,TRAVELOGUE,1911,1911,Gertrude_Bell,1868,f,43,NA,NA,NA,NA,NA,10078,3133,414,38,2492,1623,147,22,43783,18346,2774,302,650
BENNETT-1911:NA,NA,NA,NA,DRAMA COMEDY,1911,1911,Arnold_Bennett,1867,m,44,NA,NA,NA,NA,NA,9518,2726,818,7,1827,1102,77,5,40594,15564,4326,56,969
BOSWELL-1768:NA,NA,NA,NA,HISTORY,1768,1768,James_Boswell,1740,m,28,NA,NA,NA,NA,NA,8784,2506,496,117,2151,1253,202,98,41241,16216,3378,591,422
BOSWELL-1783:NA,NA,NA,NA,DIARY,1783,1783,James_Boswell,1740,m,43,NA,NA,NA,NA,NA,9901,2912,1041,15,1937,1120,315,8,42350,16336,6565,67,909
BOSWELL-178X:NA,NA,NA,NA,LET PRIV,1787,1787,James_Boswell,1740,m,47,NA,NA,NA,NA,NA,9571,2585,512,69,2021,1194,206,44,39914,15209,3164,331,600
BOSWELL-1791:NA,NA,NA,NA,BIOGR OTHER,1791,1791,James_Boswell,1740,m,51,NA,NA,NA,NA,NA,9786,2776,517,28,2268,1367,202,26,43551,17623,3239,142,453
BRACKEN-1738:NA,NA,NA,NA,HANDBOOK_OTHER,1738,1738,Henry_Bracken,1697,m,41,NA,NA,NA,NA,NA,9000,2743,27,36,1800,1083,22,13,40104,17587,183,135,286
BRADLEY2-1760:NA,NA,NA,NA,HANDBOOK_OTHER,1760,1760,Martha_Bradley,NA,f,NA,NA,NA,NA,NA,NA,9212,2679,59,27,1610,1002,45,25,37664,14829,370,201,748
BRADY-1713:NA,NA,NA,NA,SERMON,1713,1713,Nicholas_Brady,1659,m,54,NA,NA,NA,NA,NA,9117,2612,203,9,1876,1234,58,9,40092,16568,1058,53,313
BRONTE-1848:NA,NA,NA,NA,FICTION,1847,1847,Emily (alias Ellis Bell)_Bronte,1818,f,29,NA,NA,NA,NA,NA,9622,2924,325,1,2098,1397,54,1,39642,16517,2189,5,879
BROUGH-1867:NA,NA,NA,NA,DRAMA COMEDY,1867,1867,William_Brough,1826,m,41,NA,NA,NA,NA,NA,9698,2745,813,4,1499,944,44,4,37841,14202,4063,17,1018
BROUGHAM2-1825:NA,NA,NA,NA,EDUC TREAT,1825,1825,Henry_Brougham,1778,m,47,NA,NA,NA,NA,NA,9273,2916,83,1,1983,1254,55,1,43454,19346,543,3,360
BURNEY-1768:NA,NA,NA,NA,DIARY,1768,1768,Frances (Fanny)_Burney,1752,f,16,NA,NA,NA,NA,NA,10143,2965,388,15,2067,1297,133,11,41494,17189,2002,66,777
BURNEY-1782:NA,NA,NA,NA,FICTION,1782,1782,Frances (Fanny)_Burney,1752,f,30,NA,NA,NA,NA,NA,9492,2897,462,11,1859,1206,52,9,40475,16929,2602,76,653
BURNEY-1792:NA,NA,NA,NA,DIARY,1792,1792,Frances (Fanny)_Burney,1752,f,40,NA,NA,NA,NA,NA,10114,2949,617,18,2134,1308,186,13,43202,17840,3225,94,647
BURTON-1857:NA,NA,NA,NA,TRAVELOGUE,1857,1857,Richard Francis_Burton,1821,m,36,NA,NA,NA,NA,NA,10171,3064,542,169,3001,1773,231,127,46148,18739,3019,901,545
CARLYLE-1858:NA,NA,NA,NA,BIOGR OTHER,1858,1858,Thomas_Carlyle,1795,m,63,NA,NA,NA,NA,NA,9746,2906,475,37,2432,1434,170,34,44275,17446,3518,207,443
CENTLIVRE-1723:NA,NA,NA,NA,DRAMA COMEDY,1723,1723,Susanna_Centlivre,1667,f,56,NA,NA,NA,NA,NA,10051,3055,812,14,1934,1237,111,13,38907,15724,3756,53,1115
CLARKE-1730:NA,NA,NA,NA,EDUC TREAT,1730,1730,John_Clarke,1687,m,43,NA,NA,NA,NA,NA,9154,2699,95,70,1459,878,37,56,39114,16222,581,363,289
CLAVER-172X:NA,NA,NA,NA,DIARY,1723,1723,Morris_Claver,1659,m,64,NA,NA,NA,NA,NA,10457,3198,1410,4,2211,1290,536,4,45548,16752,8237,20,688
COBBETT-1838:NA,NA,NA,NA,HANDBOOK_OTHER,1838,1838,William_Cobbett,1763,m,75,NA,NA,NA,NA,NA,9061,3055,36,0,1434,917,19,0,37377,16514,213,0,465
COLERIDGE-1825:NA,NA,NA,NA,LET PRIV,1825,1825,Samuel Taylor_Coleridge,1772,m,53,NA,NA,NA,NA,NA,9524,2663,435,60,2279,1426,155,46,42333,16708,2386,305,427
COOK2-1901:NA,NA,NA,NA,HANDBOOK_OTHER,1901,1901,Ernest Thomas_Cook,1867,m,34,NA,NA,NA,NA,NA,9078,3235,138,9,1657,991,60,4,39600,17930,841,27,678
COOKE2-1770:NA,NA,NA,NA,HANDBOOK_OTHER,1770,1770,Samuel_Cooke,NA,m,NA,NA,NA,NA,NA,NA,9345,3326,94,22,1559,1018,29,12,40904,19855,601,89,569
COYNE-1855:NA,NA,NA,NA,DRAMA COMEDY,1855,1855,Joseph Stirling_Coyne,1803,m,52,NA,NA,NA,NA,NA,9620,2719,1015,55,1872,1181,87,47,38538,14602,4707,240,992
CROSSFIELD-1796:NA,NA,NA,NA,PROCEEDINGS_TRIAL,1796,1796,n/a,NA,NA,NA,NA,NA,NA,NA,NA,28564,8746,1550,27,2051,1331,198,14,112750,44843,9399,109,2429
DALTON-1808:NA,NA,NA,NA,SCIENCE_OTHER,1808,1808,John_Dalton,1766,m,42,NA,NA,NA,NA,NA,8824,2842,74,8,1456,886,27,1,40933,18873,484,24,381
DARWIN-1835:NA,NA,NA,NA,TRAVELOGUE,1835,1835,Charles_Darwin,1809,m,26,NA,NA,NA,NA,NA,10117,3156,282,28,2299,1388,107,20,46303,19382,1842,199,592
DARWIN-1842:NA,NA,NA,NA,SCIENCE_OTHER,1842,1842,Charles_Darwin,1809,m,33,NA,NA,NA,NA,NA,8887,2599,418,70,1587,887,140,28,40923,16095,2518,606,355
DAVY-1814:NA,NA,NA,NA,SCIENCE_OTHER,1814,1814,Sir Humphry_Davy,1778,m,36,NA,NA,NA,NA,NA,8740,2893,45,25,1201,729,19,22,41603,19688,237,155,478
DECOURCY-1776:NA,NA,NA,NA,SERMON,1776,1776,Richard_De Courcy,1743,m,33,NA,NA,NA,NA,NA,9142,2739,309,19,2256,1422,103,13,42544,18263,1705,110,349
DISRAELI-1827:NA,NA,NA,NA,FICTION,1827,1827,Benjamin_Disraeli,1804,m,23,NA,NA,NA,NA,NA,9483,2790,377,14,2290,1466,108,10,43550,18035,2543,91,592
DOYLE-1905:NA,NA,NA,NA,FICTION,1905,1905,Sir Arthur Conan_Donan,1859,m,46,NA,NA,NA,NA,NA,9384,2778,376,0,1880,1199,58,0,39161,15831,2284,0,717
